wb,wt,h
840,820,670
840,820,675
840,820,680
840,820,685
840,820,690
840,820,695
840,820,700
840,830,670
840,830,675
840,830,680
840,830,685
840,830,690
840,830,695
840,830,700
840,840,670
840,840,675
840,840,680
840,840,685
840,840,690
840,840,695
840,840,700
850,820,670
850,820,675
850,820,680
850,820,685
850,820,690
850,820,695
850,820,700
850,830,670
850,830,675
850,830,680
850,830,685
850,830,690
850,830,695
850,830,700
850,840,670
850,840,675
850,840,680
850,840,685
850,840,690
850,840,695
850,840,700
860,820,670
860,820,675
860,820,680
860,820,685
860,820,690
860,820,695
860,820,700
860,830,670
860,830,675
860,830,680
860,830,685
860,830,690
860,830,695
860,830,700
860,840,670
860,840,675
860,840,680
860,840,685
860,840,690
860,840,695
860,840,700
870,820,670
870,820,675
870,820,680
870,820,685
870,820,690
870,820,695
870,820,700
870,830,670
870,830,675
870,830,680
870,830,685
870,830,690
870,830,695
870,830,700
870,840,670
870,840,675
870,840,680
870,840,685
870,840,690
870,840,695
870,840,700
880,820,670
880,820,675
880,820,680
880,820,685
880,820,690
880,820,695
880,820,700
880,830,670
880,830,675
880,830,680
880,830,685
880,830,690
880,830,695
880,830,700
880,840,670
880,840,675
880,840,680
880,840,685
880,840,690
880,840,695
880,840,700